PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
,,,
GLADYS (GUNDERSON),1102,SPRAY FEATURE,OUTDOOR
,,,
GOLDBERG (LOUIS),384,PLAYGROUND PARK,OUTDOOR
,,,
GOLDEN GATE,288,BASKETBALL COURT,OUTDOOR
,,,
GOLDEN GATE,288,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GOLDEN GATE,288,PLAYGROUND,OUTDOOR
,,,
GOLDEN GATE,288,SPRAY FEATURE,OUTDOOR
,,,
GOLDEN GATE,288,BASEBALL SR,OUTDOOR
,,,
GOMPERS (SAMUEL),40,BASKETBALL COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,CASTING PIER,OUTDOOR
,,,
GOMPERS (SAMUEL),40,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
GOMPERS (SAMUEL),40,GYMNASIUM,INDOOR
,,,
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GOMPERS (SAMUEL),40,POOL (OUTDOOR),OUTDOOR
,,,
GOMPERS (SAMUEL),40,PLAYGROUND,OUTDOOR
,,,
GOMPERS (SAMUEL),40,SPORT ROLLER COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,SPRAY FEATURE,OUTDOOR
,,,
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR
,,,
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR
,,,
GOOSEBERRY,348,PLAYGROUND PARK,OUTDOOR
,,,
GOUDY (WILLIAM) SQUARE,105,PLAYGROUND PARK,OUTDOOR
,,,
GRAND,1103,PLAYGROUND PARK,OUTDOOR
,,,
GRAND CROSSING,15,BASKETBALL COURT,OUTDOOR
,,,
GRAND CROSSING,15,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
GRAND CROSSING,15,FITNESS CENTER,INDOOR
,,,
GRAND CROSSING,15,GYMNASIUM,INDOOR
,,,
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRAND CROSSING,15,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRAND CROSSING,15,POOL (OUTDOOR),OUTDOOR
,,,
GRAND CROSSING,15,PLAYGROUND,OUTDOOR
,,,
GRAND CROSSING,15,SPRAY FEATURE,OUTDOOR
,,,
GRAND CROSSING,15,BASEBALL SR,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TENNIS COURT,OUTDOOR
,,,
GRAND CROSSING,15,TRACK,OUTDOOR
,,,
GRANDPARENTS',472,PLAYGROUND,OUTDOOR
,,,
GRANT (ULYSSES),24,BAND SHELL,SPECIAL
,,,
GRANT (ULYSSES),24,DOG FRIENDLY AREA,OUTDOOR
,,,
GRANT (ULYSSES),24,GARDEN,OUTDOOR
,,,
GRANT (ULYSSES),24,GARDEN,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRANT (ULYSSES),24,GOLF COURSE MINIATURE,OUTDOOR
,,,
GRANT (ULYSSES),24,ICESKATING,OUTDOOR
,,,
GRANT (ULYSSES),24,PLAYGROUND,OUTDOOR
,,,
GRANT (ULYSSES),24,VOLLEYBALL (SAND),OUTDOOR
,,,
GRANT (ULYSSES),24,VOLLEYBALL (SAND),OUTDOOR
,,,
GRANT (ULYSSES),24,SKATE PARK,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR
,,,
GRAPE,381,PLAYGROUND PARK,OUTDOOR
,,,
GRAVER (PHILIP),179,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
GRAVER (PHILIP),179,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRAVER (PHILIP),179,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GRAVER (PHILIP),179,PLAYGROUND,OUTDOOR
,,,
GRAVER (PHILIP),179,TENNIS COURT,OUTDOOR
,,,
GRAVER (PHILIP),179,TENNIS COURT,OUTDOOR
,,,
GRAVER (PHILIP),179,TENNIS COURT,OUTDOOR
,,,
GRAVER (PHILIP),179,WATER PLAYGROUND,OUTDOOR
,,,
GREEN (JEFFERY),1212,BASKETBALL COURT,OUTDOOR
,,,
GREEN (JEFFERY),1212,PLAYGROUND,OUTDOOR
,,,
GREEN BRIAR,188,BASKETBALL COURT,OUTDOOR
,,,
GREEN BRIAR,188,GYMNASIUM,INDOOR
,,,
GREEN BRIAR,188,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GREEN BRIAR,188,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GREEN BRIAR,188,PLAYGROUND,OUTDOOR
,,,
GREEN BRIAR,188,SPRAY FEATURE,OUTDOOR
,,,
GREEN BRIAR,188,TENNIS COURT,OUTDOOR
,,,
GREENBAUM (HENRY),132,BASKETBALL COURT,OUTDOOR
,,,
GREENBAUM (HENRY),132,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
GREENBAUM (HENRY),132,PLAYGROUND,OUTDOOR
,,,
GREENBAUM (HENRY),132,VOLLEYBALL (SAND),OUTDOOR
,,,
GREENBAUM (HENRY),132,SPRAY FEATURE,OUTDOOR
,,,
GROSS,1031,BASKETBALL COURT,OUTDOOR
,,,
GROSS,1031,PLAYGROUND,OUTDOOR
,,,
HAAS (JOSEPH),1032,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HAAS (JOSEPH),1032,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAAS (JOSEPH),1032,PLAYGROUND,OUTDOOR
,,,
HAAS (JOSEPH),1032,SPRAY FEATURE,OUTDOOR
,,,
HALE (NATHAN),234,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HALE (NATHAN),234,GYMNASIUM,INDOOR
,,,
HALE (NATHAN),234,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HALE (NATHAN),234,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HALE (NATHAN),234,POOL (OUTDOOR),OUTDOOR
,,,
HALE (NATHAN),234,PLAYGROUND,OUTDOOR
,,,
HALE (NATHAN),234,BASEBALL SR,OUTDOOR
,,,
HALE (NATHAN),234,BASEBALL SR,OUTDOOR
,,,
HALE (NATHAN),234,TENNIS COURT,OUTDOOR
,,,
HALE (NATHAN),234,TENNIS COURT,OUTDOOR
,,,
HALE (NATHAN),234,WATER PLAYGROUND,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASKETBALL COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASKETBALL COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JACKSON (MAHALIA),386,BASKETBALL BACKBOARD,OUTDOOR
,,,
JEFFERSON (NANCY),338,BASKETBALL BACKBOARD,OUTDOOR
,,,
JEFFERSON (NANCY),338,BASKETBALL BACKBOARD,OUTDOOR
,,,
JENSEN (CHRIST),82,BASKETBALL BACKBOARD,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,CULTURAL CENTER,SPECIAL
,,,
HAMILTON (ALEXANDER),9,GYMNASIUM,INDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,POOL (OUTDOOR),OUTDOOR
,,,
HAMILTON (ALEXANDER),9,PLAYGROUND,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,SPRAY FEATURE,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL SR,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,BASEBALL SR,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,BASKETBALL COURT,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,CULTURAL CENTER,SPECIAL
,,,
HAMLIN (HANNIBAL),106,DOG FRIENDLY AREA,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,FITNESS CENTER,INDOOR
,,,
HAMLIN (HANNIBAL),106,GYMNASIUM,INDOOR
,,,
HAMLIN (HANNIBAL),106,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,POOL (OUTDOOR),OUTDOOR
,,,
HAMLIN (HANNIBAL),106,PLAYGROUND,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,BASEBALL SR,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,BASEBALL SR,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,TENNIS COURT,OUTDOOR
,,,
HAMLIN (HANNIBAL),106,TENNIS COURT,OUTDOOR
,,,
HANSBERRY (LORRAINE),1111,PLAYGROUND PARK,OUTDOOR
,,,
HARDING (FREDERICK),1106,PLAYGROUND PARK,OUTDOOR
,,,
HARDING (GEORGE),1033,BASKETBALL COURT,OUTDOOR
,,,
HARDING (GEORGE),1033,PLAYGROUND,OUTDOOR
,,,
HARDING (GEORGE),1033,VOLLEYBALL,OUTDOOR
,,,
HARRIS (HARRIET),524,FITNESS CENTER,INDOOR
,,,
HARRIS (HARRIET),524,GYMNASIUM,INDOOR
,,,
HARRIS (HARRIET),524,POOL (INDOOR),INDOOR
,,,
HARRIS (HARRIET),524,PLAYGROUND,OUTDOOR
,,,
HARRIS (RYAN) MEMORIAL,1225,PLAYGROUND,OUTDOOR
,,,
HARRIS (RYAN) MEMORIAL,1225,SPRAY FEATURE,OUTDOOR
,,,
HARRISON (CARTER),213,BASKETBALL COURT,OUTDOOR
,,,
HARRISON (CARTER),213,BASKETBALL COURT,OUTDOOR
,,,
HARRISON (CARTER),213,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HARRISON (CARTER),213,GYMNASIUM,INDOOR
,,,
HARRISON (CARTER),213,GYMNASTIC CENTER,INDOOR
,,,
HARRISON (CARTER),213,HORSESHOE COURT,OUTDOOR
,,,
HARRISON (CARTER),213,POOL (INDOOR),INDOOR
,,,
HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HARRISON (CARTER),213,PLAYGROUND,OUTDOOR
,,,
HARRISON (CARTER),213,BASEBALL SR,OUTDOOR
,,,
HARRISON (CARTER),213,BASEBALL SR,OUTDOOR
,,,
HARRISON (CARTER),213,TENNIS COURT,OUTDOOR
,,,
HARRISON (CARTER),213,TENNIS COURT,OUTDOOR
,,,
HARRISON (CARTER),213,TENNIS COURT,OUTDOOR
,,,
HARRISON (CARTER),213,TENNIS COURT,OUTDOOR
,,,
HARSH (VIVIAN G.),324,PLAYGROUND PARK,OUTDOOR
,,,
HARSH (VIVIAN G.),324,SPRAY FEATURE,OUTDOOR
,,,
HARTIGAN (DAVID) BEACH,1248,BEACH,OUTDOOR
,,,
HARTIGAN (DAVID) BEACH,1248,PLAYGROUND,OUTDOOR
,,,
HASAN (ELLIOT),294,PLAYGROUND PARK,OUTDOOR
,,,
HAYES (FRANCIS),242,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HAYES (FRANCIS),242,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HAYES (FRANCIS),242,FITNESS CENTER,INDOOR
,,,
HAYES (FRANCIS),242,GYMNASIUM,INDOOR
,,,
HAYES (FRANCIS),242,POOL (INDOOR),INDOOR
,,,
HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAYES (FRANCIS),242,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HAYES (FRANCIS),242,PLAYGROUND,OUTDOOR
,,,
HAYES (FRANCIS),242,SPRAY FEATURE,OUTDOOR
,,,
HAYES (FRANCIS),242,BASEBALL SR,OUTDOOR
,,,
HAYES (FRANCIS),242,BASEBALL SR,OUTDOOR
,,,
HAYES (FRANCIS),242,VOLLEYBALL,OUTDOOR
,,,
HAZELNUT,417,PLAYGROUND PARK,OUTDOOR
,,,
HERMITAGE,1008,BASKETBALL COURT,OUTDOOR
,,,
HERMITAGE,1008,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HERMITAGE,1008,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HERMITAGE,1008,PLAYGROUND,OUTDOOR
,,,
HERMITAGE,1008,SPRAY FEATURE,OUTDOOR
,,,
HERMITAGE,1008,VOLLEYBALL,OUTDOOR
,,,
HERMOSA,125,BASKETBALL COURT,OUTDOOR
,,,
HERMOSA,125,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HERMOSA,125,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HERMOSA,125,PLAYGROUND,OUTDOOR
,,,
HERMOSA,125,SPRAY FEATURE,OUTDOOR
,,,
HERMOSA,125,BASEBALL SR,OUTDOOR
,,,
HERMOSA,125,VOLLEYBALL,OUTDOOR
,,,
HIAWATHA,229,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HIAWATHA,229,FITNESS CENTER,INDOOR
,,,
HIAWATHA,229,GYMNASIUM,INDOOR
,,,
HIAWATHA,229,BOCCE COURT,SPECIAL
,,,
HIAWATHA,229,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HIAWATHA,229,PLAYGROUND,OUTDOOR
,,,
HIAWATHA,229,SPORT ROLLER COURT,OUTDOOR
,,,
HIAWATHA,229,SPRAY FEATURE,OUTDOOR
,,,
HIAWATHA,229,BASEBALL SR,OUTDOOR
,,,
HIAWATHA,229,BASEBALL SR,OUTDOOR
,,,
HIAWATHA,229,BASEBALL SR,OUTDOOR
,,,
HIAWATHA,229,BASEBALL SR,OUTDOOR
,,,
HIAWATHA,229,TENNIS COURT,OUTDOOR
,,,
HIAWATHA,229,TENNIS COURT,OUTDOOR
,,,
HICKORY,299,PLAYGROUND PARK,OUTDOOR
,,,
HOARD (EDISON),387,BASKETBALL COURT,OUTDOOR
,,,
HOARD (EDISON),387,BASKETBALL COURT,OUTDOOR
,,,
HOARD (EDISON),387,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HOARD (EDISON),387,PLAYGROUND,OUTDOOR
,,,
HOARD (EDISON),387,SPRAY FEATURE,OUTDOOR
,,,
HOLLY,325,PLAYGROUND PARK,OUTDOOR
,,,
HOLLY,325,SPRAY FEATURE,OUTDOOR
,,,
HOLLYWOOD,75,BASKETBALL COURT,OUTDOOR
,,,
HOLLYWOOD,75,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HOLLYWOOD,75,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HOLLYWOOD,75,PLAYGROUND,OUTDOOR
,,,
HOLLYWOOD,75,SPRAY FEATURE,OUTDOOR
,,,
HOLLYWOOD,75,TENNIS COURT,OUTDOOR
,,,
HOLSTEIN,203,GYMNASIUM,INDOOR
,,,
HOLSTEIN,203,POOL (OUTDOOR),OUTDOOR
,,,
HOLSTEIN,203,PLAYGROUND,OUTDOOR
,,,
HOLSTEIN,203,BASEBALL SR,OUTDOOR
,,,
HOLSTEIN,203,SPRAY FEATURE,OUTDOOR
,,,
HOMAN (JOSEPH),1108,PLAYGROUND PARK,OUTDOOR
,,,
HONEYSUCKLE,351,PLAYGROUND PARK,OUTDOOR
,,,
HORAN (ALBERT),1035,BASKETBALL COURT,OUTDOOR
,,,
HORAN (ALBERT),1035,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORAN (ALBERT),1035,PLAYGROUND,OUTDOOR
,,,
HORAN (ALBERT),1035,SPRAY FEATURE,OUTDOOR
,,,
HORNBEAM,353,PLAYGROUND PARK,OUTDOOR
,,,
HORNBEAM,353,SPRAY FEATURE,OUTDOOR
,,,
HORNER (HENRY),228,BASKETBALL COURT,OUTDOOR
,,,
HORNER (HENRY),228,BASKETBALL COURT,OUTDOOR
,,,
HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HORNER (HENRY),228,GYMNASIUM,INDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HORNER (HENRY),228,PLAYGROUND,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL SR,OUTDOOR
,,,
HORNER (HENRY),228,BASEBALL SR,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
HORNER (HENRY),228,TENNIS COURT,OUTDOOR
,,,
"HOUSTON (JESSIE ""MA"")",278,BASKETBALL COURT,OUTDOOR
,,,
"HOUSTON (JESSIE ""MA"")",278,BASKETBALL COURT,OUTDOOR
,,,
"HOUSTON (JESSIE ""MA"")",278,PLAYGROUND,OUTDOOR
,,,
HOWARD (URE) BEACH,1256,BEACH,OUTDOOR
,,,
HOWARD (URE) BEACH,1256,PLAYGROUND,OUTDOOR
,,,
HOYNE (THOMAS),1036,BASKETBALL COURT,OUTDOOR
,,,
HOYNE (THOMAS),1036,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
HOYNE (THOMAS),1036,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HOYNE (THOMAS),1036,PLAYGROUND,OUTDOOR
,,,
HOYNE (THOMAS),1036,VOLLEYBALL,OUTDOOR
,,,
HUBBARD (GURDON),1109,BASKETBALL COURT,OUTDOOR
,,,
HUBBARD (GURDON),1109,PLAYGROUND,OUTDOOR
,,,
HUCKLEBERRY,336,PLAYGROUND PARK,OUTDOOR
,,,
HUMBERT (JAMES),1121,PLAYGROUND PARK,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,ARTIFICIAL TURF FIELD,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BEACH,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,CASTING PIER,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,FITNESS CENTER,INDOOR
,,,
HUMBOLDT (BARON VON),219,GARDEN,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,GARDEN,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,GYMNASIUM,INDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL SR,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,POOL (OUTDOOR),OUTDOOR
,,,
HUMBOLDT (BARON VON),219,PLAYGROUND,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,PLAYGROUND,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,PLAYGROUND,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,PLAYGROUND,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,VOLLEYBALL (SAND),OUTDOOR
,,,
HUMBOLDT (BARON VON),219,SPRAY FEATURE,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,SPRAY FEATURE,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,TENNIS COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,TENNIS COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,TENNIS COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,TENNIS COURT,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,ARTIFICIAL TURF FIELD,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,WATER SLIDE,OUTDOOR
,,,
HURLEY (TIMOTHY),178,PLAYGROUND,OUTDOOR
,,,
INDEPENDENCE,83,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
INDEPENDENCE,83,FITNESS CENTER,INDOOR
,,,
INDEPENDENCE,83,GYMNASIUM,INDOOR
,,,
INDEPENDENCE,83,POOL (INDOOR),INDOOR
,,,
INDEPENDENCE,83,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
INDEPENDENCE,83,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
INDEPENDENCE,83,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
INDEPENDENCE,83,PLAYGROUND,OUTDOOR
,,,
INDEPENDENCE,83,SPRAY FEATURE,OUTDOOR
,,,
INDEPENDENCE,83,TENNIS COURT,OUTDOOR
,,,
INDEPENDENCE,83,TENNIS COURT,OUTDOOR
,,,
INDEPENDENCE,83,TENNIS COURT,OUTDOOR
,,,
INDEPENDENCE,83,TENNIS COURT,OUTDOOR
,,,
INDIAN BOUNDARY,165,ZOO,SPECIAL
,,,
